zipCode,Median_Income,Mean,Pop
38851,31793,43419,9206
38852,64195,88019,9145
38855,39871,46771,4229
38856,37265,43918,1938
38857,38150,51163,2623
38858,38967,49491,7157
38859,35091,41579,754
38860,28256,38150,6234
38862,35975,43626,2901
38863,37236,47773,17730
38864,29523,46334,1711
38865,43285,47086,4558
38866,49214,61568,8906
38868,36623,44567,5259
38869,40434,51519,425
38870,47414,50393,2968
38871,40053,46475,1528
38873,29889,39921,2615
38876,47000,57374,1268
38878,27374,34676,2684
38879,24388,36089,1100
38901,32592,45764,19958
38913,35848,41334,387
38914,38390,45026,514
38915,27981,35195,4006
38916,27661,36813,5406
38917,31116,46463,3621
38920,28952,35073,933
38921,25536,33850,5573
38922,30848,42562,3539
38923,22500,36461,1365
38924,18632,27327,1036
38925,35654,43681,2501
38927,35417,42388,1099
38928,26179,32007,640
38929,35607,47041,1364
38930,24061,35787,28163
38940,35186,52017,1964
38941,21433,29200,5832
38943,29796,44931,401
38945,14595,26564,82
38946,21486,29261,402
38947,32188,47708,483
38948,30631,39286,2508
38949,47982,65404,296
38950,26179,32007,481
38951,36625,42587,1335
38952,1917,3129,219
38953,32225,42244,782
38954,20157,29887,1832
38957,22407,32576,883
38958,21486,29261,111
38961,31053,39524,926
38962,31317,37688,197
38963,22365,33922,2004
38964,22218,31847,178
38965,33202,44867,9087
38966,23524,32408,1530
38967,30685,39814,7918
39038,24226,35463,7316
39039,32523,46496,2200
39040,41027,52839,3523
39041,38654,59285,3633
39042,62237,72371,27233
39044,43803,51522,3679
39045,22335,34224,1292
39046,37944,47715,22488
39047,68928,84388,23312
39051,34072,43381,15440
39054,31159,38609,489
39056,51947,65919,25242
39057,31117,42595,1898
39059,35833,44639,12065
39061,31159,38609,92
39062,33185,48244,408
39063,24275,36438,4054
39066,33316,46229,4581
39067,32411,48573,1499
39069,22752,32023,6686
39071,48486,73838,4647
39073,45994,60148,17036
39074,34290,47797,15030
39078,39628,48602,824
39079,21913,31104,1991
39082,42321,49529,1333
39083,34868,45984,10310
39086,28574,36788,2012
39088,40842,51713,215
39090,29240,43490,13429
39092,30684,44466,3167
39094,33983,42878,3994
39095,21451,32517,8007
39096,21524,31952,3628
39097,27246,41031,1126
39108,29992,45850,2146
39110,89947,109651,23940
39111,32463,46796,10300
39113,21360,33698,837
39114,39000,50650,10224
39115,27246,41031,264
39116,35401,46430,2515
39117,41448,47304,10036
39119,31849,46623,5514
39120,27832,42043,34606
39140,30146,41769,2312
39144,20712,32145,1214
39145,58393,70504,5080
39146,21787,31650,3156
39149,40165,50921,1799
39150,23958,33625,6648
39152,37957,49684,1191
39153,37460,48979,3776
39154,49028,64289,9568
39156,44453,61891,271
39157,65648,83912,20900
39159,27212,36820,4392
39160,22550,36543,2960
39162,46466,59324,251
39166,27246,41031,807
39167,42500,57134,76
39168,38361,51631,6762
39169,17601,24040,3726
39170,56300,69702,7515
39174,41317,49256,729
39175,35383,48564,5098
39176,23813,37743,2355
39177,21360,33698,169
39179,28033,43604,1287
39180,41363,53703,33228
39183,40037,55730,16117
39189,29881,42124,3409
39191,41603,55728,7235
39192,28402,41298,2011
39193,32250,45094,1401
39194,26788,38271,20720
39201,16235,30247,1212
39202,38695,53565,9591
39203,22355,29695,9162
39204,27757,35587,19917
39206,38257,47276,28053
39208,42770,56551,27720
39209,29673,37600,34820
39211,66931,95355,24019
39212,40140,47048,31450
39213,26051,36207,26212
39216,41567,81015,4048
39217,17252,22182,330
39218,40392,54805,6140
39232,52764,67047,5723
39272,53031,63663,7032
39301,28324,43235,27510
39305,45792,64936,19402
39307,27509,38278,18115
39309,50810,69428,609
39320,48067,58745,1625
39322,40358,46327,1939
39323,43896,49093,1187
39325,47685,58739,5446
39326,37762,50715,661
39327,33962,43827,4040
39328,14522,19161,2333
39330,28762,36920,2569
39332,42215,44219,1567
39335,33446,48701,3185
39336,38713,44223,1439
39337,43535,51474,1995
39338,9877,13028,920
39339,31166,43199,16392
39341,23426,33859,7626
39342,44105,61745,1185
39345,32538,38615,6414
39346,27612,39978,2311
39347,15124,22527,825
39348,18868,28062,564
39350,33760,47513,23657
39354,29277,39091,2091
39355,32266,43229,7464
39358,33,54,3
39359,26608,43083,233
39360,28311,40312,4295
39361,22677,33783,1704
39362,43843,46138,2869
39363,29328,36477,1993
39364,31015,47732,2880
39365,34465,45273,7584
39366,24984,37346,1597
39367,30208,42289,15885
39401,27649,38826,40837
39402,56189,75568,27229
39406,17313,24438,3783
39421,34766,38041,3131
39422,29875,46927,5606
39423,36612,40807,2813
39425,37167,44126,1597
39426,48387,61197,13499
39427,21422,33243,1532
39428,29767,41963,9787
39429,33942,49110,17384
39437,38274,48823,12189
39439,27266,39389,4948
39440,29516,46304,20731
39443,39215,50239,21279
39451,41175,45492,5996
39452,45924,54322,22759
39455,33122,44963,7901
39456,40132,46405,1508
39459,38725,44272,3093
39461,41190,45463,528
39462,36022,40194,1222
39464,34619,44595,2289
39465,50228,58261,18727
39466,37732,48278,24518
39470,36527,50793,11467
39474,26447,36979,6974
39475,47988,58232,9911
39476,43232,49397,7351
39477,35737,46604,773
39478,29265,42564,1944
39479,40909,52143,5431
39480,45352,57204,2630
39481,31731,45157,1815
39482,49375,58878,7923
39483,27302,39861,5539
39501,28535,36842,25586
39503,47514,60762,36733
39507,46749,62847,19333
39520,37828,52838,17533
39525,63914,73057,5868
39530,31289,45389,13480
39531,42486,56834,19670
39532,55754,68372,25452
39534,42321,52682,2978
39540,40618,50188,7598
39553,43870,54648,16124
39556,46065,54442,6197
39560,50265,61468,19502
39561,47968,60795,1191
39562,49368,54731,16691
39563,35398,45617,15865
39564,61648,80684,31844
39565,50846,58269,14624
39567,37100,52650,13333
39571,49372,68952,14848
39572,37662,40928,1784
39573,46651,62031,6505
39574,49592,55760,10902
39576,33669,51533,6704
39577,41743,55419,8613
39581,42381,55801,12923
39601,36836,53667,22985
39629,40000,49974,5760
39630,34574,63186,1100
39631,26684,37234,3656
39633,27477,34839,1347
39635,26278,41975,160
39638,27520,36122,3597
39641,37351,48222,4276
39643,28150,39081,1222
39645,26808,41101,5184
39647,34613,62715,1002
39648,28673,41202,21060
39652,27810,43584,8365
39653,33729,59543,2918
39654,39413,51279,5802
39656,23954,35846,880
39657,31944,46369,2490
39661,29853,44247,3158
39662,45633,57960,1187
39663,28824,40809,3349
39664,31222,48195,2161
39665,40101,51507,1214
39666,38249,54100,8716
39667,31602,44592,12429
39668,29268,39983,758
39669,28548,49666,6325
39701,23492,40251,16060
39702,39653,50816,22139
39705,52162,68438,14626
39730,30940,44430,12609
39735,29395,39227,4422
39736,35958,66035,339
39737,40519,50532,309
39739,28167,35187,3220
39740,46423,58763,4634
39741,30272,41642,1615
39743,22030,38274,2277
39744,33210,42872,6266
39745,31414,45102,981
39746,41004,45332,3251
39747,31089,45051,2409
39750,35048,51280,2752
39751,33564,42299,1314
39752,34052,41365,2346
39755,30770,41500,1260
39756,32176,46638,2028
39759,29871,47535,37292
39760,24889,40590,4
39762,37583,57754,1949
39766,43877,55220,2449
39767,35530,45445,907
39769,40571,57725,2120
39771,40519,50532,148
39772,31516,44278,2163
39773,30578,45836,17533
39776,31848,44991,1988
39813,27384,38897,2110
39815,31735,41179,1686
39817,30596,40714,10894
39819,35769,50182,11282
39823,27402,43183,8550
39824,24105,34827,544
39825,27678,39455,1461
39826,34138,43553,418
39827,30083,40421,3842
39828,32610,48318,15150
39834,39216,60710,2138
39836,26946,45990,461
39837,31104,43408,6166
39840,26803,47075,5726
39841,27459,40206,878
39842,26952,42077,8357
39845,36135,54885,7871
39846,27208,38075,2440
39851,26250,33711,2388
39854,28727,32855,2592
39859,31062,39800,1281
39861,27230,43509,1003
39862,32966,37198,1326
39866,38646,40465,2122
39867,27218,37385,321
39870,34851,47234,2238
39877,28713,41339,500
39885,43333,56268,76
39886,24082,33416,1616
39897,34979,44131,3430
40003,57822,69909,1902
40004,45154,55001,28245
40006,50049,55047,5084
40007,47782,51417,166
40008,52886,55465,3476
40009,37959,43014,1051
40010,111023,131030,587
40011,45700,54748,2549
40012,52415,54553,589
40013,60310,66811,5369
40014,82989,100044,19986
40019,35932,51647,3789
40020,60076,66312,109
40022,70167,124935,834
40023,79086,90887,4118
40025,110350,181560,59
40026,106605,117035,5458
40031,64234,76342,22863
40033,38352,50894,12355
40036,47256,51404,223
40037,38416,47764,2864
40040,49615,54040,531
40041,65721,118108,286
40045,44680,54876,3451
40046,53181,58965,1741
40047,56088,63848,19345
40048,60076,66312,113
40049,37158,46400,115
40050,40448,51231,1389
40051,40779,53521,4799
40052,38691,51392,515
40055,51187,59110,1752
40056,69015,80359,3263
40057,49475,55695,3354
40058,40448,51231,64
40059,115056,155116,16708
40060,37680,45466,1184
40062,37095,46224,301
40063,49694,58773,789
40065,52109,65730,28025
40067,71348,99682,5114
40068,48630,58842,2131
40069,44502,56837,8276
40070,41568,51791,582
40071,61431,69503,14292
40075,46530,56690,1323
40076,60736,64175,2516
40077,59398,74296,564
40078,37404,42670,2200
40104,41313,49715,1336
40107,43504,56297,2067
40108,44965,52563,11574
40109,37324,50138,1990
40110,53500,60294,60
40111,41545,46293,1682
40115,34288,46215,727
40117,52088,52976,2299
40118,42604,50445,9724
40119,40888,49977,1797
40121,43642,46601,8606
40140,35594,46551,787
40142,46343,50273,2304
40143,36973,45923,5939
40144,35886,46681,1866
40145,46441,50087,908
40146,31576,46649,3745
40150,50841,59527,4103
40152,46441,50087,604
40155,33958,39204,947
40157,40979,49817,876
40160,45993,55328,23572
40161,41313,49715,178
40162,54688,61212,6056
40165,49265,58582,32726
40170,34224,46688,344
40171,31591,46830,243
40175,50898,58664,13070
40176,35998,48138,931
40177,31422,41123,1462
40178,46441,50087,468
40202,18150,32349,6772
40203,16629,25932,19694
40204,43421,63257,14236
40205,68359,83664,23678
40206,47341,62556,18865
40207,70284,97980,29745
40208,24905,34623,13227
40209,29042,34956,360
40210,19521,28508,14822
40211,23444,31929,22612
40212,25590,32519,17685
40213,39716,50492,16796
40214,38146,48349,45291
40215,26230,34195,22287
40216,41502,48274,40746
40217,42384,49487,12507
40218,35297,46036,31658
40219,40891,46953,38032
40220,50280,63017,33109
40222,67257,88581,21359
40223,65417,89020,22011
40228,55363,61711,15743
40229,53147,59544,36852
40241,82110,106649,28988
40242,53292,67784,10930
40243,62104,79875,10210
40245,96179,118534,30109
40258,47731,55571,26465
40272,44898,51386,37394
40280,92128,127012,303
40291,62665,70433,35427
40299,67500,77932,38371
40310,53243,61414,526
40311,41001,46706,7153
40312,31759,40888,5898
40313,27558,40340,3143
40322,18602,23054,1817
40324,62459,70884,41342
40328,36384,42673,1065
40330,45654,55149,19334
40334,32729,42160,76
40336,29108,38790,13061
40337,33432,43171,5501
40339,101542,155263,46
40342,55492,61645,21125
40346,33627,42141,686
40347,61087,75055,2767
40348,41667,46549,600
40350,39139,45242,228
40351,34766,48500,20249
40353,38050,51589,20779
40356,43303,54967,32973
40358,27242,33790,904
40359,45359,51289,7080
40360,33858,42142,6564
40361,33185,42386,14245
40363,45315,52181,22
40370,69102,72171,2763
40371,25544,31799,2827
40372,64396,82966,2128
40374,27128,43715,1702
40376,32083,40700,52
40379,55359,64265,3288
40380,32045,40675,6607
40383,59280,73188,22408
40385,43280,51428,3131
40387,1855,4183,124
40390,42460,58656,7366
40391,47844,58536,35262
40402,25310,33968,2905
40403,42095,50275,23774
40404,50400,53296,643
40409,33356,45013,3843
40419,29710,37806,4621
40422,43366,59105,24280
40434,20000,33632,34
40437,33809,41736,4932
40440,36167,39987,2092
40442,31130,38204,1136
40444,40342,49989,14096
40445,16874,23442,997
40447,21470,32288,8251
40448,36824,45446,53
40456,32159,41655,9300
40460,16607,23136,1129
40461,52615,59735,3121
40464,37611,42953,1114
40468,43899,52277,1807
40472,29704,42643,1679
40475,41815,55343,55803
40481,21793,29427,218
40484,32831,42578,11612
40486,23193,33860,2223
40489,32339,38033,4109
40502,56941,88727,25709
40503,57392,68977,28003
40504,35719,43331,25655
40505,34258,46651,26040
40506,20768,22503,2802
40507,18711,39534,1757
40508,21482,31689,23569
40509,73222,87610,32364
40510,87847,90408,1928
40511,57592,65141,31798
40513,95529,122836,10994
40514,76745,86618,14647
40515,72048,88757,33595
40516,73988,104733,2877
40517,38965,47131,35227
40601,49853,62466,49566
40604,36714,45135,462
40701,31641,42233,29497
40729,29529,56465,5485
40734,28342,36757,3764
40737,44477,48312,1379
40740,35908,44298,3321
40741,35759,49525,21875
40743,44810,48538,229
40744,40532,54000,18334
40759,23558,38692,2531
40763,22026,29405,469
40769,23574,36892,18507
40771,26662,38592,1068
40801,20645,28639,531
40806,30112,40651,2499
40808,21420,34450,99
40810,22115,36110,1548
40813,28596,39752,669
40815,26153,37929,1534
40816,19605,30113,78
40818,25996,37372,110
40819,34886,38220,729
40820,25996,37372,581
40823,24935,33722,3792
40824,32267,38275,559
40826,34403,34310,759
40827,19605,30113,674
40828,20927,28462,3965
40829,28702,46967,172
40830,28702,46967,301
40831,28105,45866,5150
40840,19860,30722,312
40843,23229,27016,259
40844,19605,30113,123
40845,22377,31885,635
40847,20645,28639,261
40849,23229,27016,352
40854,29422,38334,1213
40856,26293,36838,756
40858,19605,30113,397
40862,34403,34310,647
40863,25996,37372,502
40865,38235,47675,410
40868,26759,36001,1100
40870,38235,47675,279
40873,33727,38244,2390
40874,19227,29463,504
40902,25110,28616,1239
40903,20412,34665,681
40906,21505,34953,11132
40913,20258,25787,171
40914,27132,37284,467
40915,20935,38642,896
40921,17898,28190,295
40923,27418,40386,735
40927,23229,27016,482
40935,18295,35150,2699
40939,24902,44684,273
40940,24713,35427,478
40941,20551,32193,251
40943,30878,41166,748
40946,30878,41166,220
40949,20371,38797,788
40953,30878,41166,998
40958,25104,29043,451
40962,21663,34581,19143
40964,28702,46967,151
40965,23804,33548,13570
40972,17815,28353,1327
40977,28112,41782,10362
40979,19605,30113,148
40982,14975,30697,388
40983,20200,37754,352
40988,24598,30323,555
40995,17898,28190,121
40997,14975,30697,371
41001,71523,79217,16412
41002,32271,48007,2510
41003,38431,51049,2786
41004,38743,47912,4122
41005,69015,79581,22569
41006,53739,61529,4434
41007,62519,71542,4193
41008,36876,53914,7457
41010,41817,50492,3217
41011,40197,56877,25872
41014,37857,42843,6942
41015,50096,60497,20864
41016,39644,53953,6075
41017,68348,90400,38940
41018,55939,65196,27345
41030,49064,60903,6299
41031,39902,48643,15886
41033,51468,58773,1976
41034,45558,54077,1032
41035,43488,57831,10785
41039,36044,45379,2502
41040,37582,46161,7265
41041,29946,43215,7153
41042,59669,66549,49968
41043,44036,53585,1745
41044,40532,49202,1116
41045,44080,51373,1273
41046,39312,46651,1414
41048,93170,107160,13959
41049,32170,46895,2261
41051,68380,72754,26796
41052,42304,58662,107
41055,52966,74877,1813
41056,38254,53217,14228
41059,62520,76879,2712
41062,45558,54077,35
41063,50256,60293,3378
41064,27416,37936,2073
41071,40083,54135,20869
41073,45130,52708,5955
41074,40538,48359,5338
41075,64800,86424,16459
41076,51837,62953,16468
41080,64161,80106,1849
41083,43640,50556,1326
41085,54318,71072,724
41086,42370,49090,2771
41091,84179,97952,16873
41092,57304,71660,3514
41093,29937,41970,2869
41094,66780,79936,13631
41095,42075,48133,3540
41097,39803,50769,7349
41098,47214,54231,2037
41099,43151,60769,1169
41101,36312,54605,18758
41102,45025,57392,21712
41121,44872,52014,1852
41124,26476,36491,1039
41129,43656,53441,9922
41132,31707,42448,425
41135,33324,38763,172
41139,41418,51287,8271
41141,29689,38225,2461
41142,27791,37280,91
41143,35986,48756,14535
41144,42863,50656,10279
41146,32283,43389,412
41149,17375,36263,733
41159,26691,36771,583
41164,26469,36904,11668
41166,28420,37820,919
41168,46566,59089,3043
41169,50638,69281,5354
41171,3494,7292,1014
41174,28711,37899,1122
41175,33876,41116,5591
41179,24245,38463,7852
41180,26327,36099,1087
41183,38460,55395,1618
41189,30625,46390,2264
41201,23509,33676,238
41203,25000,34942,696
41204,27822,36703,560
41214,25778,41342,750
